area_code,reference_area,area_type,date_code,gender,age,measure_type,value,units
S12000045,East Dunbartonshire,Local Authority,2017/2018,Female,31-40 years,Mean,0.33,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2015/2016,Female,Under 21 years,Mean,0.24,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Female,Over 40 years,Ratio,18.1,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2017/2018,Female,Under 21 years,Ratio,24.1,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2012/2013,Female,Under 21 years,Ratio,36.4,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2013/2014,Female,Over 40 years,Mean,0.29,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2015/2016,Female,Over 40 years,Mean,0.2,Average reconvictions per offender
S12000045,East Dunbartonshire,Local Authority,2016/2017,Female,26-30 years,Ratio,9.1,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2013/2014,Female,Under 21 years,Ratio,18.8,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2014/2015,Female,Under 21 years,Ratio,15.4,Percent reconvicted
S12000045,East Dunbartonshire,Local Authority,2012/2013,Female,All,Ratio,24.9,Percent reconvicted
S12000045,East Dunbartonshire,Local Authority,2017/2018,Female,26-30 years,Mean,0.53,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2015/2016,Female,26-30 years,Mean,0.09,Average reconvictions per offender
S12000045,East Dunbartonshire,Local Authority,2017/2018,Female,21-25 years,Mean,0.8,Average reconvictions per offender
S12000045,East Dunbartonshire,Local Authority,2015/2016,Female,31-40 years,Mean,0.38,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2016/2017,Female,26-30 years,Mean,0.29,Average reconvictions per offender
S12000045,East Dunbartonshire,Local Authority,2013/2014,Female,31-40 years,Mean,0.45,Average reconvictions per offender
S12000045,East Dunbartonshire,Local Authority,2017/2018,Female,All,Ratio,27.6,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2014/2015,Female,Over 40 years,Ratio,6.7,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2012/2013,Female,Under 21 years,Mean,0.47,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2014/2015,Female,Under 21 years,Ratio,15.8,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2013/2014,Female,Under 21 years,Ratio,19.4,Percent reconvicted
S12000045,East Dunbartonshire,Local Authority,2015/2016,Female,31-40 years,Ratio,23.8,Percent reconvicted
S12000045,East Dunbartonshire,Local Authority,2016/2017,Female,31-40 years,Mean,0.35,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2016/2017,Female,All,Ratio,10.6,Percent reconvicted
S12000045,East Dunbartonshire,Local Authority,2012/2013,Female,Under 21 years,Mean,0.33,Average reconvictions per offender
S12000045,East Dunbartonshire,Local Authority,2014/2015,Female,31-40 years,Mean,0.49,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2015/2016,Female,21-25 years,Ratio,21.4,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2016/2017,Female,31-40 years,Mean,0.5,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Female,All,Ratio,26.5,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2017/2018,Female,21-25 years,Ratio,30.8,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2013/2014,Female,31-40 years,Mean,0.42,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2014/2015,Female,21-25 years,Ratio,15.4,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2012/2013,Female,31-40 years,Ratio,23,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2016/2017,Female,Over 40 years,Ratio,14.1,Percent reconvicted
S12000041,Angus,Local Authority,2014/2015,Female,Over 40 years,Mean,0.16,Average reconvictions per offender
S12000041,Angus,Local Authority,2017/2018,Female,31-40 years,Mean,0.18,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2015/2016,Female,All,Ratio,22,Percent reconvicted
S12000041,Angus,Local Authority,2015/2016,Female,31-40 years,Ratio,23.7,Percent reconvicted
S12000041,Angus,Local Authority,2015/2016,Female,Over 40 years,Mean,0.28,Average reconvictions per offender
S12000041,Angus,Local Authority,2016/2017,Female,Over 40 years,Ratio,10,Percent reconvicted
S12000041,Angus,Local Authority,2016/2017,Female,Under 21 years,Ratio,30.8,Percent reconvicted
S12000041,Angus,Local Authority,2013/2014,Female,Over 40 years,Ratio,9.7,Percent reconvicted
S12000041,Angus,Local Authority,2017/2018,Female,26-30 years,Ratio,25,Percent reconvicted
S12000041,Angus,Local Authority,2012/2013,Female,31-40 years,Ratio,35.7,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2014/2015,Female,All,Ratio,23.1,Percent reconvicted
S12000041,Angus,Local Authority,2017/2018,Female,Over 40 years,Ratio,21.2,Percent reconvicted
S12000041,Angus,Local Authority,2016/2017,Female,Over 40 years,Mean,0.13,Average reconvictions per offender
S12000041,Angus,Local Authority,2015/2016,Female,31-40 years,Mean,0.66,Average reconvictions per offender
S12000041,Angus,Local Authority,2015/2016,Female,Under 21 years,Mean,0.67,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Female,Over 40 years,Mean,0.32,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Female,Over 40 years,Mean,0.27,Average reconvictions per offender
S12000041,Angus,Local Authority,2013/2014,Female,Over 40 years,Mean,0.19,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2014/2015,Female,Under 21 years,Ratio,28,Percent reconvicted
S12000041,Angus,Local Authority,2014/2015,Female,31-40 years,Ratio,17.9,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2017/2018,Female,All,Mean,0.47,Average reconvictions per offender
S12000041,Angus,Local Authority,2017/2018,Female,Over 40 years,Mean,0.36,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2014/2015,Female,31-40 years,Ratio,27,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Female,21-25 years,Mean,0.39,Average reconvictions per offender
S12000041,Angus,Local Authority,2013/2014,Female,31-40 years,Ratio,18.4,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2014/2015,Female,Under 21 years,Mean,0.8,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2014/2015,Female,Over 40 years,Mean,0.28,Average reconvictions per offender
S12000041,Angus,Local Authority,2017/2018,Female,All,Ratio,19.3,Percent reconvicted
S12000041,Angus,Local Authority,2013/2014,Female,31-40 years,Mean,0.32,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2017/2018,Female,26-30 years,Mean,0.36,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2014/2015,Female,31-40 years,Mean,0.41,Average reconvictions per offender
S12000041,Angus,Local Authority,2012/2013,Female,Over 40 years,Mean,0.36,Average reconvictions per offender
S12000041,Angus,Local Authority,2016/2017,Female,All,Ratio,18.2,Percent reconvicted
S12000041,Angus,Local Authority,2014/2015,Female,Over 40 years,Ratio,12.5,Percent reconvicted
S12000041,Angus,Local Authority,2012/2013,Female,31-40 years,Mean,0.64,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2017/2018,Female,21-25 years,Mean,0.35,Average reconvictions per offender
S12000041,Angus,Local Authority,2017/2018,Female,All,Mean,0.29,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2012/2013,Female,26-30 years,Ratio,33.3,Percent reconvicted
S12000041,Angus,Local Authority,2012/2013,Female,26-30 years,Mean,0.73,Average reconvictions per offender
S12000041,Angus,Local Authority,2016/2017,Female,21-25 years,Mean,0.3,Average reconvictions per offender
S12000041,Angus,Local Authority,2017/2018,Female,Under 21 years,Ratio,18.2,Percent reconvicted
S12000041,Angus,Local Authority,2014/2015,Female,All,Mean,0.41,Average reconvictions per offender
S12000041,Angus,Local Authority,2012/2013,Female,21-25 years,Ratio,33.3,Percent reconvicted
S12000041,Angus,Local Authority,2016/2017,Female,26-30 years,Mean,0.2,Average reconvictions per offender
S12000041,Angus,Local Authority,2014/2015,Female,26-30 years,Ratio,31.8,Percent reconvicted
S12000041,Angus,Local Authority,2016/2017,Female,Under 21 years,Mean,0.46,Average reconvictions per offender
S12000041,Angus,Local Authority,2017/2018,Female,21-25 years,Mean,0.39,Average reconvictions per offender
S12000041,Angus,Local Authority,2016/2017,Female,26-30 years,Ratio,20,Percent reconvicted
S12000041,Angus,Local Authority,2015/2016,Female,26-30 years,Ratio,16.1,Percent reconvicted
S12000041,Angus,Local Authority,2017/2018,Female,Under 21 years,Mean,0.18,Average reconvictions per offender
S12000041,Angus,Local Authority,2015/2016,Female,All,Mean,0.47,Average reconvictions per offender
S12000041,Angus,Local Authority,2013/2014,Female,21-25 years,Ratio,21.2,Percent reconvicted
S12000041,Angus,Local Authority,2013/2014,Female,All,Mean,0.37,Average reconvictions per offender
S12000041,Angus,Local Authority,2014/2015,Female,21-25 years,Ratio,26.7,Percent reconvicted
S12000041,Angus,Local Authority,2014/2015,Female,21-25 years,Mean,0.33,Average reconvictions per offender
S12000041,Angus,Local Authority,2013/2014,Female,All,Ratio,21.4,Percent reconvicted
S12000041,Angus,Local Authority,2015/2016,Female,21-25 years,Ratio,20,Percent reconvicted
S12000041,Angus,Local Authority,2012/2013,Female,All,Mean,0.62,Average reconvictions per offender
S12000041,Angus,Local Authority,2015/2016,Female,26-30 years,Mean,0.29,Average reconvictions per offender
S12000041,Angus,Local Authority,2012/2013,Female,All,Ratio,30.1,Percent reconvicted
S12000041,Angus,Local Authority,2015/2016,Female,Under 21 years,Ratio,33.3,Percent reconvicted
S12000041,Angus,Local Authority,2015/2016,Female,Over 40 years,Ratio,15.6,Percent reconvicted
S12000041,Angus,Local Authority,2012/2013,Female,Over 40 years,Ratio,28.6,Percent reconvicted
S12000041,Angus,Local Authority,2016/2017,Female,31-40 years,Ratio,18.8,Percent reconvicted
S12000041,Angus,Local Authority,2014/2015,Female,Under 21 years,Mean,0.81,Average reconvictions per offender
S12000041,Angus,Local Authority,2017/2018,Female,31-40 years,Ratio,15.2,Percent reconvicted
S12000041,Angus,Local Authority,2017/2018,Female,26-30 years,Mean,0.29,Average reconvictions per offender
S12000041,Angus,Local Authority,2015/2016,Female,All,Ratio,20,Percent reconvicted
S12000041,Angus,Local Authority,2013/2014,Female,26-30 years,Ratio,25,Percent reconvicted
S12000041,Angus,Local Authority,2014/2015,Female,All,Ratio,23.6,Percent reconvicted
S12000041,Angus,Local Authority,2016/2017,Female,All,Mean,0.23,Average reconvictions per offender
S12000041,Angus,Local Authority,2012/2013,Female,26-30 years,Ratio,23.3,Percent reconvicted
S12000041,Angus,Local Authority,2014/2015,Female,Under 21 years,Ratio,38.1,Percent reconvicted
S12000041,Angus,Local Authority,2016/2017,Female,21-25 years,Ratio,18.5,Percent reconvicted
S12000041,Angus,Local Authority,2015/2016,Female,21-25 years,Mean,0.67,Average reconvictions per offender
S12000041,Angus,Local Authority,2013/2014,Female,Under 21 years,Mean,0.79,Average reconvictions per offender
S12000041,Angus,Local Authority,2012/2013,Female,Under 21 years,Mean,0.32,Average reconvictions per offender
S12000041,Angus,Local Authority,2012/2013,Female,21-25 years,Mean,0.81,Average reconvictions per offender
S12000041,Angus,Local Authority,2017/2018,Female,21-25 years,Ratio,16.7,Percent reconvicted
S12000041,Angus,Local Authority,2012/2013,Female,Under 21 years,Ratio,28,Percent reconvicted
S12000041,Angus,Local Authority,2013/2014,Female,21-25 years,Mean,0.42,Average reconvictions per offender
S12000041,Angus,Local Authority,2014/2015,Female,26-30 years,Mean,0.5,Average reconvictions per offender
S12000041,Angus,Local Authority,2013/2014,Female,Under 21 years,Ratio,50,Percent reconvicted
S12000041,Angus,Local Authority,2013/2014,Female,26-30 years,Mean,0.38,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2012/2013,Female,26-30 years,Mean,0.71,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Female,21-25 years,Mean,0.4,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2013/2014,Female,All,Ratio,27.2,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Female,31-40 years,Mean,0.46,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2017/2018,Female,Under 21 years,Ratio,11.5,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2016/2017,Female,31-40 years,Ratio,28.9,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2013/2014,Female,Over 40 years,Ratio,19.1,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2012/2013,Female,21-25 years,Ratio,29.6,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2013/2014,Female,All,Mean,0.43,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2015/2016,Female,Under 21 years,Mean,0.57,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2014/2015,Female,21-25 years,Ratio,27.5,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Female,31-40 years,Ratio,25.5,Percent reconvicted
S12000042,Dundee City,Local Authority,2016/2017,Female,26-30 years,Ratio,13.5,Percent reconvicted
S12000042,Dundee City,Local Authority,2014/2015,Female,26-30 years,Mean,0.44,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2016/2017,Female,All,Ratio,20.8,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2014/2015,Female,26-30 years,Mean,0.78,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2015/2016,Female,Under 21 years,Ratio,38.1,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2012/2013,Female,26-30 years,Mean,0.6,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2012/2013,Female,All,Ratio,24.1,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Female,26-30 years,Mean,0.15,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2013/2014,Female,26-30 years,Mean,0.49,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2012/2013,Female,31-40 years,Mean,0.57,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2017/2018,Female,31-40 years,Mean,0.46,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2014/2015,Female,All,Mean,0.41,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2015/2016,Female,All,Mean,0.45,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Female,31-40 years,Ratio,25,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2014/2015,Female,All,Ratio,21.9,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2014/2015,Female,21-25 years,Ratio,25.6,Percent reconvicted
S12000042,Dundee City,Local Authority,2012/2013,Female,All,Ratio,26.8,Percent reconvicted
S12000042,Dundee City,Local Authority,2012/2013,Female,All,Mean,0.54,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2016/2017,Female,31-40 years,Ratio,27.3,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2012/2013,Female,All,Ratio,22.5,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2015/2016,Female,All,Mean,0.42,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Female,21-25 years,Ratio,23.1,Percent reconvicted
S12000042,Dundee City,Local Authority,2013/2014,Female,All,Mean,0.47,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2017/2018,Female,26-30 years,Ratio,22.7,Percent reconvicted
S12000042,Dundee City,Local Authority,2017/2018,Female,21-25 years,Mean,0.31,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Female,Under 21 years,Ratio,27.6,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2017/2018,Female,All,Ratio,26.4,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2012/2013,Female,All,Mean,0.4,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Female,26-30 years,Ratio,39.5,Percent reconvicted
S12000042,Dundee City,Local Authority,2014/2015,Female,21-25 years,Mean,0.41,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Female,All,Mean,0.51,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2015/2016,Female,21-25 years,Ratio,25.9,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2017/2018,Female,31-40 years,Mean,0.68,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2012/2013,Female,All,Mean,0.44,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Female,Under 21 years,Mean,0.35,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Female,21-25 years,Ratio,20,Percent reconvicted
S12000042,Dundee City,Local Authority,2017/2018,Female,All,Ratio,23.1,Percent reconvicted
S12000042,Dundee City,Local Authority,2012/2013,Female,26-30 years,Ratio,30.3,Percent reconvicted
S12000042,Dundee City,Local Authority,2017/2018,Female,26-30 years,Mean,0.39,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2015/2016,Female,Over 40 years,Mean,0.31,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Female,21-25 years,Mean,0.65,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2017/2018,Female,Over 40 years,Ratio,16.2,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2012/2013,Female,Under 21 years,Mean,0.92,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2012/2013,Female,21-25 years,Mean,0.52,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Female,31-40 years,Ratio,21.1,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2012/2013,Female,Over 40 years,Mean,0.16,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2015/2016,Female,26-30 years,Ratio,35.6,Percent reconvicted
S12000042,Dundee City,Local Authority,2014/2015,Female,Under 21 years,Mean,0.36,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2012/2013,Female,Under 21 years,Ratio,40,Percent reconvicted
S12000041,Angus,Local Authority,2016/2017,Female,31-40 years,Mean,0.19,Average reconvictions per offender
S12000041,Angus,Local Authority,2014/2015,Female,31-40 years,Mean,0.41,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Female,Under 21 years,Mean,0.69,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Female,Under 21 years,Ratio,21.7,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2012/2013,Female,Over 40 years,Ratio,12.5,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2014/2015,Female,Over 40 years,Ratio,13.6,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Female,Over 40 years,Ratio,18.4,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2014/2015,Female,21-25 years,Mean,0.31,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Female,All,Ratio,22.3,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2014/2015,Female,All,Mean,0.45,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2017/2018,Female,Under 21 years,Ratio,28.6,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Female,26-30 years,Ratio,14.6,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2012/2013,Female,31-40 years,Mean,0.31,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2014/2015,Female,26-30 years,Ratio,40,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2017/2018,Female,Over 40 years,Mean,0.26,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2016/2017,Female,26-30 years,Mean,0.19,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Female,26-30 years,Mean,0.53,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Female,26-30 years,Mean,0.32,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2015/2016,Female,26-30 years,Mean,0.61,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2014/2015,Female,26-30 years,Ratio,27.9,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2017/2018,Female,Under 21 years,Mean,0.71,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2013/2014,Female,26-30 years,Ratio,31.6,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2016/2017,Female,All,Mean,0.41,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2013/2014,Female,21-25 years,Ratio,46.2,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2017/2018,Female,31-40 years,Ratio,35.2,Percent reconvicted
S12000038,Renfrewshire,Local Authority,2015/2016,Female,All,Mean,0.36,Average reconvictions per offender
S12000038,Renfrewshire,Local Authority,2016/2017,Female,26-30 years,Ratio,23.5,Percent reconvicted
S12000042,Dundee City,Local Authority,2015/2016,Female,Under 21 years,Mean,0.19,Average reconvictions per offender
S12000042,Dundee City,Local Authority,2017/2018,Female,26-30 years,Ratio,28.1,Percent reconvicted
S12000042,Dundee City,Local Authority,2016/2017,Female,Under 21 years,Ratio,10.3,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2012/2013,Female,Over 40 years,Mean,0.35,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2016/2017,Female,26-30 years,Mean,1.08,Average reconvictions per offender
S12000048,Perth and Kinross,Local Authority,2016/2017,Female,Under 21 years,Mean,0.31,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2016/2017,Female,26-30 years,Ratio,41.6,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2014/2015,Female,26-30 years,Ratio,33.3,Percent reconvicted
S12000047,Fife,Local Authority,2013/2014,Female,31-40 years,Ratio,27.3,Percent reconvicted
S12000048,Perth and Kinross,Local Authority,2012/2013,Female,21-25 years,Mean,0.24,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2012/2013,Female,26-30 years,Mean,0.48,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2012/2013,Female,Under 21 years,Ratio,21,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2016/2017,Female,31-40 years,Mean,0.97,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2017/2018,Female,26-30 years,Mean,0.71,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2012/2013,Female,26-30 years,Ratio,28.5,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2013/2014,Female,31-40 years,Mean,0.44,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2016/2017,Female,31-40 years,Ratio,34.8,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2016/2017,Female,All,Mean,0.74,Average reconvictions per offender
S12000047,Fife,Local Authority,2015/2016,Female,26-30 years,Ratio,21.1,Percent reconvicted
S12000047,Fife,Local Authority,2012/2013,Female,All,Mean,0.46,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2014/2015,Female,31-40 years,Mean,0.54,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2017/2018,Female,All,Mean,0.59,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2015/2016,Female,26-30 years,Mean,0.71,Average reconvictions per offender
S12000047,Fife,Local Authority,2015/2016,Female,26-30 years,Mean,0.42,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2017/2018,Female,21-25 years,Ratio,17.5,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2014/2015,Female,Over 40 years,Mean,0.45,Average reconvictions per offender
S12000048,Perth and Kinross,Local Authority,2015/2016,Female,Over 40 years,Ratio,20.4,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2016/2017,Female,Over 40 years,Mean,0.52,Average reconvictions per offender
S12000048,Perth and Kinross,Local Authority,2013/2014,Female,31-40 years,Ratio,26.5,Percent reconvicted
S12000048,Perth and Kinross,Local Authority,2016/2017,Female,All,Ratio,20,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2012/2013,Female,21-25 years,Mean,0.3,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2015/2016,Female,31-40 years,Ratio,30.3,Percent reconvicted
S12000048,Perth and Kinross,Local Authority,2016/2017,Female,Over 40 years,Mean,0.34,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2015/2016,Female,21-25 years,Mean,0.36,Average reconvictions per offender
S12000048,Perth and Kinross,Local Authority,2012/2013,Female,All,Ratio,21.4,Percent reconvicted
S12000048,Perth and Kinross,Local Authority,2014/2015,Female,31-40 years,Mean,0.36,Average reconvictions per offender
S12000048,Perth and Kinross,Local Authority,2016/2017,Female,Over 40 years,Ratio,13.2,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2017/2018,Female,21-25 years,Mean,0.44,Average reconvictions per offender
S12000048,Perth and Kinross,Local Authority,2017/2018,Female,All,Mean,0.33,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2015/2016,Female,21-25 years,Ratio,18,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2013/2014,Female,26-30 years,Ratio,23.4,Percent reconvicted
S12000048,Perth and Kinross,Local Authority,2015/2016,Female,All,Mean,0.34,Average reconvictions per offender
S12000048,Perth and Kinross,Local Authority,2015/2016,Female,31-40 years,Ratio,18.9,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2014/2015,Female,Under 21 years,Ratio,31.6,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2015/2016,Female,All,Ratio,24.1,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2015/2016,Female,Over 40 years,Mean,0.36,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2013/2014,Female,Under 21 years,Ratio,26.8,Percent reconvicted
S12000048,Perth and Kinross,Local Authority,2017/2018,Female,Over 40 years,Mean,0.17,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2014/2015,Female,Under 21 years,Mean,0.58,Average reconvictions per offender
S12000047,Fife,Local Authority,2016/2017,Female,31-40 years,Ratio,23.8,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2013/2014,Female,All,Mean,0.38,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2012/2013,Female,All,Mean,0.38,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2012/2013,Female,All,Ratio,22.4,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2012/2013,Female,21-25 years,Ratio,18.1,Percent reconvicted
S12000047,Fife,Local Authority,2013/2014,Female,26-30 years,Mean,0.6,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2015/2016,Female,Over 40 years,Ratio,18,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2017/2018,Female,All,Ratio,27.7,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2015/2016,Female,All,Mean,0.53,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2014/2015,Female,All,Mean,0.51,Average reconvictions per offender
S12000047,Fife,Local Authority,2014/2015,Female,26-30 years,Mean,0.44,Average reconvictions per offender
S12000047,Fife,Local Authority,2012/2013,Female,All,Ratio,23.8,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2017/2018,Female,31-40 years,Ratio,37,Percent reconvicted
S12000047,Fife,Local Authority,2014/2015,Female,All,Mean,0.41,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2012/2013,Female,Over 40 years,Ratio,18.5,Percent reconvicted
S12000047,Fife,Local Authority,2015/2016,Female,Under 21 years,Mean,0.29,Average reconvictions per offender
S12000047,Fife,Local Authority,2014/2015,Female,26-30 years,Ratio,21.9,Percent reconvicted
S12000047,Fife,Local Authority,2014/2015,Female,Under 21 years,Mean,0.57,Average reconvictions per offender
S12000047,Fife,Local Authority,2012/2013,Female,31-40 years,Mean,0.47,Average reconvictions per offender
