FeatureCode,DateCode,Measurement,Units,Value,Gender,Age
S12000045,2016/2017,Mean,Average reconvictions per offender,0.09,Female,26-30 years
S12000035,2013/2014,Mean,Average reconvictions per offender,0.31,Female,Under 21 years
S12000045,2015/2016,Ratio,Percent reconvicted,11.1,Female,Over 40 years
S12000045,2012/2013,Mean,Average reconvictions per offender,0.38,Female,26-30 years
S12000035,2012/2013,Mean,Average reconvictions per offender,0.18,Female,31-40 years
S12000045,2014/2015,Ratio,Percent reconvicted,24.5,Female,31-40 years
S12000045,2012/2013,Ratio,Percent reconvicted,20.5,Female,26-30 years
S12000035,2012/2013,Ratio,Percent reconvicted,31.6,Female,Over 40 years
S12000035,2017/2018,Mean,Average reconvictions per offender,0.33,Female,31-40 years
S12000035,2017/2018,Ratio,Percent reconvicted,33.3,Female,31-40 years
S12000035,2013/2014,Mean,Average reconvictions per offender,0.5,Female,26-30 years
S12000035,2015/2016,Ratio,Percent reconvicted,7.7,Female,31-40 years
S12000035,2013/2014,Mean,Average reconvictions per offender,0.28,Female,21-25 years
S12000045,2015/2016,Ratio,Percent reconvicted,14.8,Female,21-25 years
S12000035,2016/2017,Mean,Average reconvictions per offender,0.17,Female,All
S12000035,2016/2017,Mean,Average reconvictions per offender,0.13,Female,Over 40 years
S12000035,2017/2018,Ratio,Percent reconvicted,25,Female,Under 21 years
S12000035,2017/2018,Ratio,Percent reconvicted,9.1,Female,26-30 years
S12000035,2017/2018,Mean,Average reconvictions per offender,0.25,Female,Under 21 years
S12000035,2014/2015,Mean,Average reconvictions per offender,0.29,Female,26-30 years
S12000045,2014/2015,Ratio,Percent reconvicted,18.5,Female,21-25 years
S12000036,2015/2016,Ratio,Percent reconvicted,17.5,Female,Over 40 years
S12000036,2012/2013,Mean,Average reconvictions per offender,0.3,Female,Over 40 years
S12000045,2014/2015,Mean,Average reconvictions per offender,0.44,Female,21-25 years
S12000045,2016/2017,Ratio,Percent reconvicted,28.6,Female,31-40 years
S12000045,2015/2016,Mean,Average reconvictions per offender,0.32,Female,All
S12000036,2016/2017,Mean,Average reconvictions per offender,0.46,Female,All
S12000036,2014/2015,Mean,Average reconvictions per offender,0.38,Female,Over 40 years
S12000036,2015/2016,Ratio,Percent reconvicted,11.3,Female,Under 21 years
S12000045,2016/2017,Ratio,Percent reconvicted,26.5,Female,All
S12000036,2015/2016,Mean,Average reconvictions per offender,0.31,Female,Over 40 years
S12000045,2013/2014,Ratio,Percent reconvicted,27.5,Female,Over 40 years
S12000036,2014/2015,Mean,Average reconvictions per offender,0.34,Female,Under 21 years
S12000036,2016/2017,Ratio,Percent reconvicted,27.9,Female,Under 21 years
S12000045,2017/2018,Ratio,Percent reconvicted,24.6,Female,Over 40 years
S12000036,2017/2018,Ratio,Percent reconvicted,19,Female,Over 40 years
S12000045,2017/2018,Mean,Average reconvictions per offender,0.67,Female,Under 21 years
S12000036,2014/2015,Ratio,Percent reconvicted,16.5,Female,Over 40 years
S12000036,2012/2013,Ratio,Percent reconvicted,26.4,Female,Under 21 years
S12000036,2017/2018,Mean,Average reconvictions per offender,0.34,Female,Over 40 years
S12000045,2017/2018,Mean,Average reconvictions per offender,0.33,Female,31-40 years
S12000036,2015/2016,Mean,Average reconvictions per offender,0.24,Female,Under 21 years
S12000036,2013/2014,Ratio,Percent reconvicted,18.1,Female,Over 40 years
S12000036,2017/2018,Ratio,Percent reconvicted,24.1,Female,Under 21 years
S12000035,2012/2013,Ratio,Percent reconvicted,36.4,Female,Under 21 years
S12000035,2013/2014,Mean,Average reconvictions per offender,0.29,Female,Over 40 years
S12000035,2015/2016,Mean,Average reconvictions per offender,0.2,Female,Over 40 years
S12000045,2016/2017,Ratio,Percent reconvicted,9.1,Female,26-30 years
S12000035,2013/2014,Ratio,Percent reconvicted,18.8,Female,Under 21 years
S12000035,2014/2015,Ratio,Percent reconvicted,15.4,Female,Under 21 years
S12000045,2012/2013,Ratio,Percent reconvicted,24.9,Female,All
S12000045,2017/2018,Mean,Average reconvictions per offender,0.53,Female,26-30 years
S12000035,2015/2016,Mean,Average reconvictions per offender,0.09,Female,26-30 years
S12000045,2017/2018,Mean,Average reconvictions per offender,0.8,Female,21-25 years
S12000045,2015/2016,Mean,Average reconvictions per offender,0.38,Female,31-40 years
S12000035,2016/2017,Mean,Average reconvictions per offender,0.29,Female,26-30 years
S12000045,2013/2014,Mean,Average reconvictions per offender,0.45,Female,31-40 years
S12000045,2017/2018,Ratio,Percent reconvicted,27.6,Female,All
S12000035,2014/2015,Ratio,Percent reconvicted,6.7,Female,Over 40 years
S12000036,2012/2013,Mean,Average reconvictions per offender,0.47,Female,Under 21 years
S12000036,2014/2015,Ratio,Percent reconvicted,15.8,Female,Under 21 years
S12000036,2013/2014,Ratio,Percent reconvicted,19.4,Female,Under 21 years
S12000045,2015/2016,Ratio,Percent reconvicted,23.8,Female,31-40 years
S12000045,2016/2017,Mean,Average reconvictions per offender,0.35,Female,31-40 years
S12000035,2016/2017,Ratio,Percent reconvicted,10.6,Female,All
S12000045,2012/2013,Mean,Average reconvictions per offender,0.33,Female,Under 21 years
S12000045,2014/2015,Mean,Average reconvictions per offender,0.49,Female,31-40 years
S12000038,2015/2016,Ratio,Percent reconvicted,21.4,Female,21-25 years
S12000038,2016/2017,Mean,Average reconvictions per offender,0.5,Female,31-40 years
S12000038,2013/2014,Ratio,Percent reconvicted,26.5,Female,All
S12000038,2017/2018,Ratio,Percent reconvicted,30.8,Female,21-25 years
S12000038,2013/2014,Mean,Average reconvictions per offender,0.42,Female,31-40 years
S12000038,2014/2015,Ratio,Percent reconvicted,15.4,Female,21-25 years
S12000038,2012/2013,Ratio,Percent reconvicted,23,Female,31-40 years
S12000038,2016/2017,Ratio,Percent reconvicted,14.1,Female,Over 40 years
S12000041,2014/2015,Mean,Average reconvictions per offender,0.16,Female,Over 40 years
S12000041,2017/2018,Mean,Average reconvictions per offender,0.18,Female,31-40 years
S12000038,2015/2016,Ratio,Percent reconvicted,22,Female,All
S12000041,2015/2016,Ratio,Percent reconvicted,23.7,Female,31-40 years
S12000041,2015/2016,Mean,Average reconvictions per offender,0.28,Female,Over 40 years
S12000041,2016/2017,Ratio,Percent reconvicted,10,Female,Over 40 years
S12000041,2016/2017,Ratio,Percent reconvicted,30.8,Female,Under 21 years
S12000041,2013/2014,Ratio,Percent reconvicted,9.7,Female,Over 40 years
S12000041,2017/2018,Ratio,Percent reconvicted,25,Female,26-30 years
S12000041,2012/2013,Ratio,Percent reconvicted,35.7,Female,31-40 years
S12000038,2014/2015,Ratio,Percent reconvicted,23.1,Female,All
S12000041,2017/2018,Ratio,Percent reconvicted,21.2,Female,Over 40 years
S12000041,2016/2017,Mean,Average reconvictions per offender,0.13,Female,Over 40 years
S12000041,2015/2016,Mean,Average reconvictions per offender,0.66,Female,31-40 years
S12000041,2015/2016,Mean,Average reconvictions per offender,0.67,Female,Under 21 years
S12000038,2013/2014,Mean,Average reconvictions per offender,0.32,Female,Over 40 years
S12000038,2016/2017,Mean,Average reconvictions per offender,0.27,Female,Over 40 years
S12000041,2013/2014,Mean,Average reconvictions per offender,0.19,Female,Over 40 years
S12000038,2014/2015,Ratio,Percent reconvicted,28,Female,Under 21 years
S12000041,2014/2015,Ratio,Percent reconvicted,17.9,Female,31-40 years
S12000038,2017/2018,Mean,Average reconvictions per offender,0.47,Female,All
S12000041,2017/2018,Mean,Average reconvictions per offender,0.36,Female,Over 40 years
S12000038,2014/2015,Ratio,Percent reconvicted,27,Female,31-40 years
S12000038,2015/2016,Mean,Average reconvictions per offender,0.39,Female,21-25 years
S12000041,2013/2014,Ratio,Percent reconvicted,18.4,Female,31-40 years
S12000038,2014/2015,Mean,Average reconvictions per offender,0.8,Female,Under 21 years
S12000038,2014/2015,Mean,Average reconvictions per offender,0.28,Female,Over 40 years
S12000041,2017/2018,Ratio,Percent reconvicted,19.3,Female,All
S12000041,2013/2014,Mean,Average reconvictions per offender,0.32,Female,31-40 years
S12000038,2017/2018,Mean,Average reconvictions per offender,0.36,Female,26-30 years
S12000038,2014/2015,Mean,Average reconvictions per offender,0.41,Female,31-40 years
S12000041,2012/2013,Mean,Average reconvictions per offender,0.36,Female,Over 40 years
S12000041,2016/2017,Ratio,Percent reconvicted,18.2,Female,All
S12000041,2014/2015,Ratio,Percent reconvicted,12.5,Female,Over 40 years
S12000041,2012/2013,Mean,Average reconvictions per offender,0.64,Female,31-40 years
S12000038,2017/2018,Mean,Average reconvictions per offender,0.35,Female,21-25 years
S12000041,2017/2018,Mean,Average reconvictions per offender,0.29,Female,All
S12000038,2012/2013,Ratio,Percent reconvicted,33.3,Female,26-30 years
S12000041,2012/2013,Mean,Average reconvictions per offender,0.73,Female,26-30 years
S12000041,2016/2017,Mean,Average reconvictions per offender,0.3,Female,21-25 years
S12000041,2017/2018,Ratio,Percent reconvicted,18.2,Female,Under 21 years
S12000041,2014/2015,Mean,Average reconvictions per offender,0.41,Female,All
S12000041,2012/2013,Ratio,Percent reconvicted,33.3,Female,21-25 years
S12000041,2016/2017,Mean,Average reconvictions per offender,0.2,Female,26-30 years
S12000041,2014/2015,Ratio,Percent reconvicted,31.8,Female,26-30 years
S12000041,2016/2017,Mean,Average reconvictions per offender,0.46,Female,Under 21 years
S12000041,2017/2018,Mean,Average reconvictions per offender,0.39,Female,21-25 years
S12000041,2016/2017,Ratio,Percent reconvicted,20,Female,26-30 years
S12000041,2015/2016,Ratio,Percent reconvicted,16.1,Female,26-30 years
S12000041,2017/2018,Mean,Average reconvictions per offender,0.18,Female,Under 21 years
S12000041,2015/2016,Mean,Average reconvictions per offender,0.47,Female,All
S12000041,2013/2014,Ratio,Percent reconvicted,21.2,Female,21-25 years
S12000041,2013/2014,Mean,Average reconvictions per offender,0.37,Female,All
S12000041,2014/2015,Ratio,Percent reconvicted,26.7,Female,21-25 years
S12000041,2014/2015,Mean,Average reconvictions per offender,0.33,Female,21-25 years
S12000041,2013/2014,Ratio,Percent reconvicted,21.4,Female,All
S12000041,2015/2016,Ratio,Percent reconvicted,20,Female,21-25 years
S12000041,2012/2013,Mean,Average reconvictions per offender,0.62,Female,All
S12000041,2015/2016,Mean,Average reconvictions per offender,0.29,Female,26-30 years
S12000041,2012/2013,Ratio,Percent reconvicted,30.1,Female,All
S12000041,2015/2016,Ratio,Percent reconvicted,33.3,Female,Under 21 years
S12000041,2015/2016,Ratio,Percent reconvicted,15.6,Female,Over 40 years
S12000041,2012/2013,Ratio,Percent reconvicted,28.6,Female,Over 40 years
S12000041,2016/2017,Ratio,Percent reconvicted,18.8,Female,31-40 years
S12000041,2014/2015,Mean,Average reconvictions per offender,0.81,Female,Under 21 years
S12000041,2017/2018,Ratio,Percent reconvicted,15.2,Female,31-40 years
S12000041,2017/2018,Mean,Average reconvictions per offender,0.29,Female,26-30 years
S12000041,2015/2016,Ratio,Percent reconvicted,20,Female,All
S12000041,2013/2014,Ratio,Percent reconvicted,25,Female,26-30 years
S12000041,2014/2015,Ratio,Percent reconvicted,23.6,Female,All
S12000041,2016/2017,Mean,Average reconvictions per offender,0.23,Female,All
S12000041,2012/2013,Ratio,Percent reconvicted,23.3,Female,26-30 years
S12000041,2014/2015,Ratio,Percent reconvicted,38.1,Female,Under 21 years
S12000041,2016/2017,Ratio,Percent reconvicted,18.5,Female,21-25 years
S12000041,2015/2016,Mean,Average reconvictions per offender,0.67,Female,21-25 years
S12000041,2013/2014,Mean,Average reconvictions per offender,0.79,Female,Under 21 years
S12000041,2012/2013,Mean,Average reconvictions per offender,0.32,Female,Under 21 years
S12000041,2012/2013,Mean,Average reconvictions per offender,0.81,Female,21-25 years
S12000041,2017/2018,Ratio,Percent reconvicted,16.7,Female,21-25 years
S12000041,2012/2013,Ratio,Percent reconvicted,28,Female,Under 21 years
S12000041,2013/2014,Mean,Average reconvictions per offender,0.42,Female,21-25 years
S12000041,2014/2015,Mean,Average reconvictions per offender,0.5,Female,26-30 years
S12000041,2013/2014,Ratio,Percent reconvicted,50,Female,Under 21 years
S12000041,2013/2014,Mean,Average reconvictions per offender,0.38,Female,26-30 years
S12000042,2012/2013,Mean,Average reconvictions per offender,0.71,Female,26-30 years
S12000038,2016/2017,Mean,Average reconvictions per offender,0.4,Female,21-25 years
S12000042,2013/2014,Ratio,Percent reconvicted,27.2,Female,All
S12000038,2015/2016,Mean,Average reconvictions per offender,0.46,Female,31-40 years
S12000042,2017/2018,Ratio,Percent reconvicted,11.5,Female,Under 21 years
S12000038,2016/2017,Ratio,Percent reconvicted,28.9,Female,31-40 years
S12000038,2013/2014,Ratio,Percent reconvicted,19.1,Female,Over 40 years
S12000038,2012/2013,Ratio,Percent reconvicted,29.6,Female,21-25 years
S12000038,2013/2014,Mean,Average reconvictions per offender,0.43,Female,All
S12000038,2015/2016,Mean,Average reconvictions per offender,0.57,Female,Under 21 years
S12000042,2014/2015,Ratio,Percent reconvicted,27.5,Female,21-25 years
S12000038,2015/2016,Ratio,Percent reconvicted,25.5,Female,31-40 years
S12000042,2016/2017,Ratio,Percent reconvicted,13.5,Female,26-30 years
S12000042,2014/2015,Mean,Average reconvictions per offender,0.44,Female,26-30 years
S12000042,2016/2017,Ratio,Percent reconvicted,20.8,Female,All
S12000038,2014/2015,Mean,Average reconvictions per offender,0.78,Female,26-30 years
S12000038,2015/2016,Ratio,Percent reconvicted,38.1,Female,Under 21 years
S12000038,2012/2013,Mean,Average reconvictions per offender,0.6,Female,26-30 years
S12000038,2012/2013,Ratio,Percent reconvicted,24.1,Female,All
S12000038,2015/2016,Mean,Average reconvictions per offender,0.15,Female,26-30 years
S12000042,2013/2014,Mean,Average reconvictions per offender,0.49,Female,26-30 years
S12000042,2012/2013,Mean,Average reconvictions per offender,0.57,Female,31-40 years
S12000042,2017/2018,Mean,Average reconvictions per offender,0.46,Female,31-40 years
S12000042,2014/2015,Mean,Average reconvictions per offender,0.41,Female,All
S12000042,2015/2016,Mean,Average reconvictions per offender,0.45,Female,All
S12000036,2013/2014,Ratio,Percent reconvicted,25,Female,31-40 years
S12000036,2014/2015,Ratio,Percent reconvicted,21.9,Female,All
S12000036,2014/2015,Ratio,Percent reconvicted,25.6,Female,21-25 years
S12000042,2012/2013,Ratio,Percent reconvicted,26.8,Female,All
S12000042,2012/2013,Mean,Average reconvictions per offender,0.54,Female,All
S12000036,2016/2017,Ratio,Percent reconvicted,27.3,Female,31-40 years
S12000036,2012/2013,Ratio,Percent reconvicted,22.5,Female,All
S12000036,2015/2016,Mean,Average reconvictions per offender,0.42,Female,All
S12000036,2013/2014,Ratio,Percent reconvicted,23.1,Female,21-25 years
S12000042,2013/2014,Mean,Average reconvictions per offender,0.47,Female,All
S12000038,2017/2018,Ratio,Percent reconvicted,22.7,Female,26-30 years
S12000042,2017/2018,Mean,Average reconvictions per offender,0.31,Female,21-25 years
S12000038,2016/2017,Ratio,Percent reconvicted,27.6,Female,Under 21 years
S12000038,2017/2018,Ratio,Percent reconvicted,26.4,Female,All
S12000038,2012/2013,Mean,Average reconvictions per offender,0.4,Female,All
S12000038,2013/2014,Ratio,Percent reconvicted,39.5,Female,26-30 years
S12000042,2014/2015,Mean,Average reconvictions per offender,0.41,Female,21-25 years
S12000036,2013/2014,Mean,Average reconvictions per offender,0.51,Female,All
S12000036,2015/2016,Ratio,Percent reconvicted,25.9,Female,21-25 years
S12000038,2017/2018,Mean,Average reconvictions per offender,0.68,Female,31-40 years
S12000036,2012/2013,Mean,Average reconvictions per offender,0.44,Female,All
S12000038,2013/2014,Mean,Average reconvictions per offender,0.35,Female,Under 21 years
S12000038,2016/2017,Ratio,Percent reconvicted,20,Female,21-25 years
S12000042,2017/2018,Ratio,Percent reconvicted,23.1,Female,All
S12000042,2012/2013,Ratio,Percent reconvicted,30.3,Female,26-30 years
S12000042,2017/2018,Mean,Average reconvictions per offender,0.39,Female,26-30 years
S12000038,2015/2016,Mean,Average reconvictions per offender,0.31,Female,Over 40 years
S12000038,2013/2014,Mean,Average reconvictions per offender,0.65,Female,21-25 years
S12000038,2017/2018,Ratio,Percent reconvicted,16.2,Female,Over 40 years
S12000038,2012/2013,Mean,Average reconvictions per offender,0.92,Female,Under 21 years
S12000038,2012/2013,Mean,Average reconvictions per offender,0.52,Female,21-25 years
S12000038,2013/2014,Ratio,Percent reconvicted,21.1,Female,31-40 years
S12000038,2012/2013,Mean,Average reconvictions per offender,0.16,Female,Over 40 years
S12000042,2015/2016,Ratio,Percent reconvicted,35.6,Female,26-30 years
S12000042,2014/2015,Mean,Average reconvictions per offender,0.36,Female,Under 21 years
S12000038,2012/2013,Ratio,Percent reconvicted,40,Female,Under 21 years
S12000041,2016/2017,Mean,Average reconvictions per offender,0.19,Female,31-40 years
S12000041,2014/2015,Mean,Average reconvictions per offender,0.41,Female,31-40 years
S12000038,2016/2017,Mean,Average reconvictions per offender,0.69,Female,Under 21 years
S12000038,2013/2014,Ratio,Percent reconvicted,21.7,Female,Under 21 years
S12000038,2012/2013,Ratio,Percent reconvicted,12.5,Female,Over 40 years
S12000038,2014/2015,Ratio,Percent reconvicted,13.6,Female,Over 40 years
S12000038,2015/2016,Ratio,Percent reconvicted,18.4,Female,Over 40 years
S12000038,2014/2015,Mean,Average reconvictions per offender,0.31,Female,21-25 years
S12000038,2016/2017,Ratio,Percent reconvicted,22.3,Female,All
S12000038,2014/2015,Mean,Average reconvictions per offender,0.45,Female,All
S12000038,2017/2018,Ratio,Percent reconvicted,28.6,Female,Under 21 years
S12000038,2015/2016,Ratio,Percent reconvicted,14.6,Female,26-30 years
S12000038,2012/2013,Mean,Average reconvictions per offender,0.31,Female,31-40 years
S12000038,2014/2015,Ratio,Percent reconvicted,40,Female,26-30 years
S12000038,2017/2018,Mean,Average reconvictions per offender,0.26,Female,Over 40 years
S12000042,2016/2017,Mean,Average reconvictions per offender,0.19,Female,26-30 years
S12000038,2013/2014,Mean,Average reconvictions per offender,0.53,Female,26-30 years
S12000038,2016/2017,Mean,Average reconvictions per offender,0.32,Female,26-30 years
S12000042,2015/2016,Mean,Average reconvictions per offender,0.61,Female,26-30 years
S12000042,2014/2015,Ratio,Percent reconvicted,27.9,Female,26-30 years
S12000038,2017/2018,Mean,Average reconvictions per offender,0.71,Female,Under 21 years
S12000042,2013/2014,Ratio,Percent reconvicted,31.6,Female,26-30 years
S12000038,2016/2017,Mean,Average reconvictions per offender,0.41,Female,All
S12000038,2013/2014,Ratio,Percent reconvicted,46.2,Female,21-25 years
S12000038,2017/2018,Ratio,Percent reconvicted,35.2,Female,31-40 years
S12000038,2015/2016,Mean,Average reconvictions per offender,0.36,Female,All
S12000038,2016/2017,Ratio,Percent reconvicted,23.5,Female,26-30 years
S12000042,2015/2016,Mean,Average reconvictions per offender,0.19,Female,Under 21 years
S12000042,2017/2018,Ratio,Percent reconvicted,28.1,Female,26-30 years
S12000042,2016/2017,Ratio,Percent reconvicted,10.3,Female,Under 21 years
S12000033,2012/2013,Mean,Average reconvictions per offender,0.35,Female,Over 40 years
S12000033,2016/2017,Mean,Average reconvictions per offender,1.08,Female,26-30 years
S12000048,2016/2017,Mean,Average reconvictions per offender,0.31,Female,Under 21 years
S12000033,2016/2017,Ratio,Percent reconvicted,41.6,Female,26-30 years
S12000033,2014/2015,Ratio,Percent reconvicted,33.3,Female,26-30 years
S12000047,2013/2014,Ratio,Percent reconvicted,27.3,Female,31-40 years
S12000048,2012/2013,Mean,Average reconvictions per offender,0.24,Female,21-25 years
S12000033,2012/2013,Mean,Average reconvictions per offender,0.48,Female,26-30 years
S12000033,2012/2013,Ratio,Percent reconvicted,21,Female,Under 21 years
S12000033,2016/2017,Mean,Average reconvictions per offender,0.97,Female,31-40 years
S12000033,2017/2018,Mean,Average reconvictions per offender,0.71,Female,26-30 years
S12000033,2012/2013,Ratio,Percent reconvicted,28.5,Female,26-30 years
S12000033,2013/2014,Mean,Average reconvictions per offender,0.44,Female,31-40 years
S12000033,2016/2017,Ratio,Percent reconvicted,34.8,Female,31-40 years
S12000033,2016/2017,Mean,Average reconvictions per offender,0.74,Female,All
S12000047,2015/2016,Ratio,Percent reconvicted,21.1,Female,26-30 years
S12000047,2012/2013,Mean,Average reconvictions per offender,0.46,Female,All
S12000033,2014/2015,Mean,Average reconvictions per offender,0.54,Female,31-40 years
S12000033,2017/2018,Mean,Average reconvictions per offender,0.59,Female,All
S12000033,2015/2016,Mean,Average reconvictions per offender,0.71,Female,26-30 years
S12000047,2015/2016,Mean,Average reconvictions per offender,0.42,Female,26-30 years
S12000033,2017/2018,Ratio,Percent reconvicted,17.5,Female,21-25 years
S12000033,2014/2015,Mean,Average reconvictions per offender,0.45,Female,Over 40 years
S12000048,2015/2016,Ratio,Percent reconvicted,20.4,Female,Over 40 years
S12000033,2016/2017,Mean,Average reconvictions per offender,0.52,Female,Over 40 years
S12000048,2013/2014,Ratio,Percent reconvicted,26.5,Female,31-40 years
S12000048,2016/2017,Ratio,Percent reconvicted,20,Female,All
S12000033,2012/2013,Mean,Average reconvictions per offender,0.3,Female,21-25 years
S12000033,2015/2016,Ratio,Percent reconvicted,30.3,Female,31-40 years
S12000048,2016/2017,Mean,Average reconvictions per offender,0.34,Female,Over 40 years
S12000033,2015/2016,Mean,Average reconvictions per offender,0.36,Female,21-25 years
S12000048,2012/2013,Ratio,Percent reconvicted,21.4,Female,All
S12000048,2014/2015,Mean,Average reconvictions per offender,0.36,Female,31-40 years
S12000048,2016/2017,Ratio,Percent reconvicted,13.2,Female,Over 40 years
S12000033,2017/2018,Mean,Average reconvictions per offender,0.44,Female,21-25 years
S12000048,2017/2018,Mean,Average reconvictions per offender,0.33,Female,All
S12000033,2015/2016,Ratio,Percent reconvicted,18,Female,21-25 years
S12000033,2013/2014,Ratio,Percent reconvicted,23.4,Female,26-30 years
S12000048,2015/2016,Mean,Average reconvictions per offender,0.34,Female,All
S12000048,2015/2016,Ratio,Percent reconvicted,18.9,Female,31-40 years
S12000033,2014/2015,Ratio,Percent reconvicted,31.6,Female,Under 21 years
S12000033,2015/2016,Ratio,Percent reconvicted,24.1,Female,All
S12000033,2015/2016,Mean,Average reconvictions per offender,0.36,Female,Over 40 years
S12000033,2013/2014,Ratio,Percent reconvicted,26.8,Female,Under 21 years
S12000048,2017/2018,Mean,Average reconvictions per offender,0.17,Female,Over 40 years
S12000033,2014/2015,Mean,Average reconvictions per offender,0.58,Female,Under 21 years
S12000047,2016/2017,Ratio,Percent reconvicted,23.8,Female,31-40 years
S12000033,2013/2014,Mean,Average reconvictions per offender,0.38,Female,All
S12000033,2012/2013,Mean,Average reconvictions per offender,0.38,Female,All
S12000033,2012/2013,Ratio,Percent reconvicted,22.4,Female,All
S12000033,2012/2013,Ratio,Percent reconvicted,18.1,Female,21-25 years
S12000047,2013/2014,Mean,Average reconvictions per offender,0.6,Female,26-30 years
S12000033,2015/2016,Ratio,Percent reconvicted,18,Female,Over 40 years
S12000033,2017/2018,Ratio,Percent reconvicted,27.7,Female,All
S12000033,2015/2016,Mean,Average reconvictions per offender,0.53,Female,All
S12000033,2014/2015,Mean,Average reconvictions per offender,0.51,Female,All
S12000047,2014/2015,Mean,Average reconvictions per offender,0.44,Female,26-30 years
S12000047,2012/2013,Ratio,Percent reconvicted,23.8,Female,All
S12000033,2017/2018,Ratio,Percent reconvicted,37,Female,31-40 years
S12000047,2014/2015,Mean,Average reconvictions per offender,0.41,Female,All
S12000033,2012/2013,Ratio,Percent reconvicted,18.5,Female,Over 40 years
S12000047,2015/2016,Mean,Average reconvictions per offender,0.29,Female,Under 21 years
S12000047,2014/2015,Ratio,Percent reconvicted,21.9,Female,26-30 years
S12000047,2014/2015,Mean,Average reconvictions per offender,0.57,Female,Under 21 years
S12000047,2012/2013,Mean,Average reconvictions per offender,0.47,Female,31-40 years
S12000033,2014/2015,Ratio,Percent reconvicted,24.3,Female,Over 40 years
S12000033,2013/2014,Ratio,Percent reconvicted,19.6,Female,21-25 years
S12000033,2014/2015,Ratio,Percent reconvicted,27.1,Female,All
S12000047,2013/2014,Mean,Average reconvictions per offender,0.49,Female,All
S12000047,2016/2017,Ratio,Percent reconvicted,20.7,Female,All
S12000033,2013/2014,Ratio,Percent reconvicted,14.5,Female,Over 40 years
S12000047,2017/2018,Ratio,Percent reconvicted,26.2,Female,Under 21 years
S12000033,2012/2013,Ratio,Percent reconvicted,24.5,Female,31-40 years
S12000047,2012/2013,Ratio,Percent reconvicted,18.8,Female,Over 40 years
S12000033,2015/2016,Mean,Average reconvictions per offender,0.75,Female,31-40 years
S12000033,2015/2016,Ratio,Percent reconvicted,27.3,Female,26-30 years
S12000033,2017/2018,Mean,Average reconvictions per offender,0.43,Female,Over 40 years
S12000033,2016/2017,Ratio,Percent reconvicted,25.8,Female,Over 40 years
S12000047,2014/2015,Ratio,Percent reconvicted,26.7,Female,31-40 years
S12000047,2017/2018,Ratio,Percent reconvicted,17.5,Female,Over 40 years
S12000033,2016/2017,Mean,Average reconvictions per offender,0.59,Female,21-25 years
S12000047,2016/2017,Ratio,Percent reconvicted,17.1,Female,Under 21 years
S12000033,2016/2017,Ratio,Percent reconvicted,22.7,Female,Under 21 years
S12000047,2015/2016,Mean,Average reconvictions per offender,0.39,Female,All
S12000047,2012/2013,Mean,Average reconvictions per offender,0.72,Female,26-30 years
S12000047,2014/2015,Ratio,Percent reconvicted,16.3,Female,Over 40 years
S12000033,2016/2017,Ratio,Percent reconvicted,31.2,Female,All
S12000033,2015/2016,Ratio,Percent reconvicted,28.4,Female,Under 21 years
S12000033,2014/2015,Ratio,Percent reconvicted,20.8,Female,21-25 years
S12000047,2017/2018,Mean,Average reconvictions per offender,0.51,Female,31-40 years
S12000033,2013/2014,Ratio,Percent reconvicted,20.4,Female,All
S12000033,2017/2018,Ratio,Percent reconvicted,19.3,Female,Over 40 years
S12000048,2013/2014,Ratio,Percent reconvicted,23.5,Female,Under 21 years
S12000030,2014/2015,Mean,Average reconvictions per offender,0.51,Female,All
S12000048,2014/2015,Mean,Average reconvictions per offender,0.27,Female,Under 21 years
S12000030,2013/2014,Mean,Average reconvictions per offender,0.42,Female,All
S12000030,2012/2013,Mean,Average reconvictions per offender,0.78,Female,All
S12000030,2012/2013,Ratio,Percent reconvicted,29.1,Female,All
S12000048,2015/2016,Mean,Average reconvictions per offender,0.21,Female,21-25 years
S12000030,2014/2015,Mean,Average reconvictions per offender,0.44,Female,21-25 years
S12000048,2013/2014,Mean,Average reconvictions per offender,0.32,Female,Over 40 years
S12000048,2014/2015,Mean,Average reconvictions per offender,0.13,Female,Over 40 years
S12000048,2012/2013,Mean,Average reconvictions per offender,0.16,Female,Over 40 years
S12000030,2015/2016,Mean,Average reconvictions per offender,0.52,Female,All
S12000030,2016/2017,Mean,Average reconvictions per offender,0.45,Female,All
S12000030,2013/2014,Mean,Average reconvictions per offender,0.69,Female,21-25 years
S12000030,2017/2018,Ratio,Percent reconvicted,16.7,Female,21-25 years
S12000048,2016/2017,Ratio,Percent reconvicted,31.3,Female,Under 21 years
S12000030,2012/2013,Mean,Average reconvictions per offender,1,Female,Under 21 years
S12000048,2012/2013,Ratio,Percent reconvicted,20.5,Female,31-40 years
S12000048,2014/2015,Ratio,Percent reconvicted,13.3,Female,Over 40 years
S12000030,2015/2016,Ratio,Percent reconvicted,50,Female,Under 21 years
S12000030,2012/2013,Ratio,Percent reconvicted,44.7,Female,21-25 years
S12000030,2016/2017,Mean,Average reconvictions per offender,0.3,Female,21-25 years
S12000030,2013/2014,Ratio,Percent reconvicted,31.3,Female,21-25 years
S12000048,2014/2015,Mean,Average reconvictions per offender,0.32,Female,26-30 years
S12000030,2013/2014,Ratio,Percent reconvicted,13.3,Female,Over 40 years
S12000030,2014/2015,Ratio,Percent reconvicted,9.1,Female,Over 40 years
