area_code,reference_name,area_type,year,age,gender,outcome,measure_type,value,units
S12000042,Dundee City,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,1,People
S12000041,Angus,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S12000040,West Lothian,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,5,People
S12000047,Fife,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,9,People
S12000040,West Lothian,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,2,People
S12000042,Dundee City,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,3,People
S12000040,West Lothian,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,11,People
S12000050,North Lanarkshire,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,6,People
S12000049,Glasgow City,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,13,People
S12000050,North Lanarkshire,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S12000029,South Lanarkshire,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,8,People
S12000029,South Lanarkshire,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,8,People
S12000030,Stirling,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S12000049,Glasgow City,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,7,People
S12000048,Perth and Kinross,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,5,People
S12000049,Glasgow City,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,18,People
S12000048,Perth and Kinross,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,7,People
S12000050,North Lanarkshire,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,10,People
S12000048,Perth and Kinross,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S08000028,Western Isles,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S08000026,Shetland,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,1,People
S08000028,Western Isles,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,1,People
S08000028,Western Isles,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S08000029,Fife,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,8,People
S08000029,Fife,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S08000029,Fife,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,8,People
S08000030,Tayside,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S08000032,Lanarkshire,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,10,People
S08000030,Tayside,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,12,People
S08000032,Lanarkshire,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,12,People
S08000031,Greater Glasgow and Clyde,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,32,People
S08000032,Lanarkshire,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,8,People
S12000045,East Dunbartonshire,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,1,People
S12000045,East Dunbartonshire,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,1,People
S12000035,Argyll and Bute,Local Authority,2002,0-19 years,Female,Killed Or Seriously Injured,Count,15,People
S12000047,Fife,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,7,People
S12000047,Fife,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,8,People
S12000045,East Dunbartonshire,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,3,People
S12000035,Argyll and Bute,Local Authority,2002,40-59 years,Female,Killed Or Seriously Injured,Count,9,People
S12000036,City of Edinburgh,Local Authority,2002,0-19 years,Female,Killed Or Seriously Injured,Count,13,People
S12000035,Argyll and Bute,Local Authority,2002,20-39 years,Female,Killed Or Seriously Injured,Count,16,People
S12000034,Aberdeenshire,Local Authority,2002,40-59 years,Female,Killed Or Seriously Injured,Count,16,People
S12000034,Aberdeenshire,Local Authority,2002,20-39 years,Female,Killed Or Seriously Injured,Count,21,People
S12000036,City of Edinburgh,Local Authority,2002,20-39 years,Female,Killed Or Seriously Injured,Count,19,People
S12000038,Renfrewshire,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,5,People
S12000038,Renfrewshire,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000036,City of Edinburgh,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,7,People
S12000039,West Dunbartonshire,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,3,People
S12000048,Perth and Kinross,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,7,People
S12000048,Perth and Kinross,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,11,People
S12000038,Renfrewshire,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,3,People
S12000041,Angus,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,3,People
S12000041,Angus,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,2,People
S12000039,West Dunbartonshire,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,2,People
S12000036,City of Edinburgh,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,10,People
S12000036,City of Edinburgh,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,18,People
S12000041,Angus,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,2,People
S12000042,Dundee City,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,0,People
S12000047,Fife,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,9,People
S12000042,Dundee City,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S12000042,Dundee City,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000047,Fife,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,12,People
S12000045,East Dunbartonshire,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000047,Fife,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000050,North Lanarkshire,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,8,People
S12000049,Glasgow City,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,12,People
S12000048,Perth and Kinross,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,6,People
S12000049,Glasgow City,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,19,People
S12000045,East Dunbartonshire,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,1,People
S12000049,Glasgow City,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,8,People
S12000018,Inverclyde,Local Authority,1999,40-59 years,Female,Killed Or Seriously Injured,Count,1,People
S12000018,Inverclyde,Local Authority,1999,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S12000017,Highland,Local Authority,1999,40-59 years,Female,Killed Or Seriously Injured,Count,23,People
S12000006,Dumfries and Galloway,Local Authority,1999,0-19 years,Female,Killed Or Seriously Injured,Count,11,People
S08000016,Borders,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S12000018,Inverclyde,Local Authority,1999,20-39 years,Female,Killed Or Seriously Injured,Count,4,People
S12000050,North Lanarkshire,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,2,People
S12000050,North Lanarkshire,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,6,People
S12000019,Midlothian,Local Authority,1999,20-39 years,Female,Killed Or Seriously Injured,Count,3,People
S12000019,Midlothian,Local Authority,1999,40-59 years,Female,Killed Or Seriously Injured,Count,6,People
S12000005,Clackmannanshire,Local Authority,1999,20-39 years,Female,Killed Or Seriously Injured,Count,4,People
S12000040,West Lothian,Local Authority,2016,0-19 years,Female,Killed Or Seriously Injured,Count,5,People
S12000005,Clackmannanshire,Local Authority,1999,0-19 years,Female,Killed Or Seriously Injured,Count,3,People
S12000040,West Lothian,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,3,People
S12000039,West Dunbartonshire,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,2,People
S12000040,West Lothian,Local Authority,2016,40-59 years,Female,Killed Or Seriously Injured,Count,3,People
S08000015,Ayrshire and Arran,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,9,People
S08000015,Ayrshire and Arran,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,8,People
S08000015,Ayrshire and Arran,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,9,People
S12000006,Dumfries and Galloway,Local Authority,1999,40-59 years,Female,Killed Or Seriously Injured,Count,14,People
S12000005,Clackmannanshire,Local Authority,1999,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000006,Dumfries and Galloway,Local Authority,1999,20-39 years,Female,Killed Or Seriously Injured,Count,16,People
S12000050,North Lanarkshire,Local Authority,2015,20-39 years,Female,Killed Or Seriously Injured,Count,7,People
S12000008,East Ayrshire,Local Authority,1999,20-39 years,Female,Killed Or Seriously Injured,Count,20,People
S08000022,Highland,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,12,People
S08000020,Grampian,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,26,People
S12000050,North Lanarkshire,Local Authority,2015,0-19 years,Female,Killed Or Seriously Injured,Count,5,People
S12000050,North Lanarkshire,Local Authority,2015,40-59 years,Female,Killed Or Seriously Injured,Count,9,People
S08000019,Forth Valley,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,14,People
S08000019,Forth Valley,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,7,People
S08000020,Grampian,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,19,People
S08000022,Highland,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,9,People
S08000022,Highland,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,5,People
S08000019,Forth Valley,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,14,People
S12000047,Fife,Local Authority,2015,20-39 years,Female,Killed Or Seriously Injured,Count,8,People
S12000049,Glasgow City,Local Authority,2015,0-19 years,Female,Killed Or Seriously Injured,Count,6,People
S12000047,Fife,Local Authority,2015,40-59 years,Female,Killed Or Seriously Injured,Count,8,People
S12000049,Glasgow City,Local Authority,2015,20-39 years,Female,Killed Or Seriously Injured,Count,15,People
S12000048,Perth and Kinross,Local Authority,2015,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000049,Glasgow City,Local Authority,2015,40-59 years,Female,Killed Or Seriously Injured,Count,18,People
S12000010,East Lothian,Local Authority,1999,0-19 years,Female,Killed Or Seriously Injured,Count,5,People
S12000048,Perth and Kinross,Local Authority,2015,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S12000047,Fife,Local Authority,2015,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S12000010,East Lothian,Local Authority,1999,20-39 years,Female,Killed Or Seriously Injured,Count,7,People
S12000011,East Renfrewshire,Local Authority,1999,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000011,East Renfrewshire,Local Authority,1999,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S08000017,Dumfries and Galloway,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,5,People
S12000010,East Lothian,Local Authority,1999,40-59 years,Female,Killed Or Seriously Injured,Count,2,People
S12000008,East Ayrshire,Local Authority,1999,40-59 years,Female,Killed Or Seriously Injured,Count,6,People
S08000015,Ayrshire and Arran,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,5,People
S12000011,East Renfrewshire,Local Authority,1999,20-39 years,Female,Killed Or Seriously Injured,Count,4,People
S08000016,Borders,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,3,People
S08000016,Borders,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000045,East Dunbartonshire,Local Authority,2016,20-39 years,Female,Killed Or Seriously Injured,Count,3,People
S08000017,Dumfries and Galloway,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,6,People
S08000017,Dumfries and Galloway,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,5,People
S08000016,Borders,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,6,People
S08000026,Shetland,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,1,People
S08000025,Orkney,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,1,People
S08000026,Shetland,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,0,People
S08000025,Orkney,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S08000020,Grampian,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,32,People
S08000025,Orkney,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S08000015,Ayrshire and Arran,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,20,People
S12000008,East Ayrshire,Local Authority,1999,0-19 years,Female,Killed Or Seriously Injured,Count,14,People
S08000015,Ayrshire and Arran,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,8,People
S08000024,Lothian,Health Board,2015,20-39 years,Female,Killed Or Seriously Injured,Count,24,People
S08000024,Lothian,Health Board,2015,0-19 years,Female,Killed Or Seriously Injured,Count,11,People
S08000024,Lothian,Health Board,2015,40-59 years,Female,Killed Or Seriously Injured,Count,28,People
S08000024,Lothian,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,23,People
S08000026,Shetland,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S08000025,Orkney,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S08000025,Orkney,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S08000026,Shetland,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S12000014,Falkirk,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,8,People
S08000026,Shetland,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,1,People
S08000030,Tayside,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,13,People
S08000030,Tayside,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,12,People
S08000028,Western Isles,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,2,People
S08000029,Fife,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S08000025,Orkney,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,0,People
S08000030,Tayside,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,14,People
S12000010,East Lothian,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,2,People
S12000013,Na h-Eileanan Siar,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S12000010,East Lothian,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,1,People
S12000010,East Lothian,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,2,People
S12000013,Na h-Eileanan Siar,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,1,People
S12000011,East Renfrewshire,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000013,Na h-Eileanan Siar,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000014,Falkirk,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,2,People
S12000017,Highland,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,6,People
S12000014,Falkirk,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000017,Highland,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,4,People
S12000011,East Renfrewshire,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,1,People
S12000017,Highland,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,7,People
S08000024,Lothian,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,28,People
S08000024,Lothian,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,16,People
S08000020,Grampian,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,22,People
S08000020,Grampian,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,29,People
S08000022,Highland,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,10,People
S08000022,Highland,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,17,People
S08000022,Highland,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,8,People
S12000005,Clackmannanshire,Local Authority,2003,40-59 years,Female,Killed Or Seriously Injured,Count,5,People
S12000005,Clackmannanshire,Local Authority,2003,20-39 years,Female,Killed Or Seriously Injured,Count,3,People
S12000005,Clackmannanshire,Local Authority,2003,0-19 years,Female,Killed Or Seriously Injured,Count,1,People
S12000008,East Ayrshire,Local Authority,2003,20-39 years,Female,Killed Or Seriously Injured,Count,10,People
S08000020,Grampian,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,25,People
S12000008,East Ayrshire,Local Authority,2003,0-19 years,Female,Killed Or Seriously Injured,Count,11,People
S08000019,Forth Valley,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,2,People
S08000029,Fife,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,12,People
S08000019,Forth Valley,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,15,People
S08000028,Western Isles,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,0,People
S08000028,Western Isles,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S08000029,Fife,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,9,People
S08000017,Dumfries and Galloway,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,6,People
S08000017,Dumfries and Galloway,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,6,People
S08000017,Dumfries and Galloway,Health Board,2016,0-19 years,Female,Killed Or Seriously Injured,Count,7,People
S08000016,Borders,Health Board,2016,20-39 years,Female,Killed Or Seriously Injured,Count,6,People
S08000019,Forth Valley,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,9,People
S08000016,Borders,Health Board,2016,40-59 years,Female,Killed Or Seriously Injured,Count,10,People
S12000005,Clackmannanshire,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S12000019,Midlothian,Local Authority,2003,0-19 years,Female,Killed Or Seriously Injured,Count,3,People
S12000019,Midlothian,Local Authority,2003,20-39 years,Female,Killed Or Seriously Injured,Count,2,People
S12000019,Midlothian,Local Authority,2003,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000017,Highland,Local Authority,2003,40-59 years,Female,Killed Or Seriously Injured,Count,17,People
S12000018,Inverclyde,Local Authority,2003,0-19 years,Female,Killed Or Seriously Injured,Count,1,People
S12000017,Highland,Local Authority,2003,20-39 years,Female,Killed Or Seriously Injured,Count,31,People
S12000005,Clackmannanshire,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,2,People
S12000008,East Ayrshire,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000005,Clackmannanshire,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000008,East Ayrshire,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,5,People
S12000018,Inverclyde,Local Authority,2003,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000008,East Ayrshire,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,1,People
S12000011,East Renfrewshire,Local Authority,2003,20-39 years,Female,Killed Or Seriously Injured,Count,0,People
S12000011,East Renfrewshire,Local Authority,2003,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000020,Moray,Local Authority,2003,0-19 years,Female,Killed Or Seriously Injured,Count,7,People
S12000010,East Lothian,Local Authority,2003,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S12000010,East Lothian,Local Authority,2003,20-39 years,Female,Killed Or Seriously Injured,Count,2,People
S12000011,East Renfrewshire,Local Authority,2003,0-19 years,Female,Killed Or Seriously Injured,Count,3,People
S12000021,North Ayrshire,Local Authority,2003,0-19 years,Female,Killed Or Seriously Injured,Count,7,People
S12000021,North Ayrshire,Local Authority,2003,40-59 years,Female,Killed Or Seriously Injured,Count,8,People
S12000018,Inverclyde,Local Authority,2003,20-39 years,Female,Killed Or Seriously Injured,Count,9,People
S12000020,Moray,Local Authority,2003,20-39 years,Female,Killed Or Seriously Injured,Count,6,People
S12000020,Moray,Local Authority,2003,40-59 years,Female,Killed Or Seriously Injured,Count,1,People
S12000021,North Ayrshire,Local Authority,2003,20-39 years,Female,Killed Or Seriously Injured,Count,8,People
S12000023,Orkney Islands,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000019,Midlothian,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,3,People
S12000023,Orkney Islands,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,0,People
S12000023,Orkney Islands,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S12000018,Inverclyde,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,0,People
S12000018,Inverclyde,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S12000019,Midlothian,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,3,People
S12000021,North Ayrshire,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,5,People
S12000021,North Ayrshire,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,2,People
S12000011,East Renfrewshire,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,2,People
S12000026,Scottish Borders,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,6,People
S12000026,Scottish Borders,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,3,People
S12000021,North Ayrshire,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,2,People
S12000006,Dumfries and Galloway,Local Authority,2003,40-59 years,Female,Killed Or Seriously Injured,Count,7,People
S12000006,Dumfries and Galloway,Local Authority,2003,20-39 years,Female,Killed Or Seriously Injured,Count,10,People
S12000006,Dumfries and Galloway,Local Authority,2003,0-19 years,Female,Killed Or Seriously Injured,Count,9,People
S12000006,Dumfries and Galloway,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000006,Dumfries and Galloway,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,9,People
S12000006,Dumfries and Galloway,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,1,People
S12000020,Moray,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,8,People
S12000020,Moray,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,1,People
S12000018,Inverclyde,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,2,People
S12000019,Midlothian,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,6,People
S12000008,East Ayrshire,Local Authority,2003,40-59 years,Female,Killed Or Seriously Injured,Count,5,People
S12000020,Moray,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S08000028,Western Isles,Health Board,2017,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S08000028,Western Isles,Health Board,2017,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S08000025,Orkney,Health Board,2017,20-39 years,Female,Killed Or Seriously Injured,Count,0,People
S08000028,Western Isles,Health Board,2017,20-39 years,Female,Killed Or Seriously Injured,Count,0,People
S08000022,Highland,Health Board,2017,40-59 years,Female,Killed Or Seriously Injured,Count,10,People
S08000022,Highland,Health Board,2017,20-39 years,Female,Killed Or Seriously Injured,Count,11,People
S08000026,Shetland,Health Board,2017,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000035,Argyll and Bute,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000035,Argyll and Bute,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,4,People
S12000035,Argyll and Bute,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,5,People
S08000026,Shetland,Health Board,2017,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S08000025,Orkney,Health Board,2017,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S08000026,Shetland,Health Board,2017,20-39 years,Female,Killed Or Seriously Injured,Count,1,People
S08000032,Lanarkshire,Health Board,2017,40-59 years,Female,Killed Or Seriously Injured,Count,15,People
S08000031,Greater Glasgow and Clyde,Health Board,2017,40-59 years,Female,Killed Or Seriously Injured,Count,21,People
S08000032,Lanarkshire,Health Board,2017,0-19 years,Female,Killed Or Seriously Injured,Count,9,People
S08000029,Fife,Health Board,2017,20-39 years,Female,Killed Or Seriously Injured,Count,8,People
S08000029,Fife,Health Board,2017,0-19 years,Female,Killed Or Seriously Injured,Count,9,People
S08000029,Fife,Health Board,2017,40-59 years,Female,Killed Or Seriously Injured,Count,7,People
S08000025,Orkney,Health Board,2017,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S08000024,Lothian,Health Board,2017,0-19 years,Female,Killed Or Seriously Injured,Count,16,People
S08000022,Highland,Health Board,2017,0-19 years,Female,Killed Or Seriously Injured,Count,9,People
S08000024,Lothian,Health Board,2017,20-39 years,Female,Killed Or Seriously Injured,Count,24,People
S08000032,Lanarkshire,Health Board,2017,20-39 years,Female,Killed Or Seriously Injured,Count,16,People
S08000024,Lothian,Health Board,2017,40-59 years,Female,Killed Or Seriously Injured,Count,31,People
S12000027,Shetland Islands,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000026,Scottish Borders,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,2,People
S12000027,Shetland Islands,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,1,People
S12000027,Shetland Islands,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,0,People
S12000028,South Ayrshire,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,7,People
S12000028,South Ayrshire,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,1,People
S12000028,South Ayrshire,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,7,People
S12000033,Aberdeen City,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,2,People
S12000033,Aberdeen City,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,0,People
S12000029,South Lanarkshire,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,9,People
S12000030,Stirling,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,4,People
S12000030,Stirling,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,9,People
S12000033,Aberdeen City,Local Authority,2017,20-39 years,Female,Killed Or Seriously Injured,Count,4,People
S12000039,West Dunbartonshire,Local Authority,2017,0-19 years,Female,Killed Or Seriously Injured,Count,3,People
S12000034,Aberdeenshire,Local Authority,2017,40-59 years,Female,Killed Or Seriously Injured,Count,15,People
